id,user_name,latitude,longitude,scientific_name,common_name,field:dieback percent,field:optional - signs of sap sucker feeding?,field:optional - what 'other factors' were observed?,field:tree health condition,field:tree number,field:tree diameter,field:tree canopy symptoms - wrc - simplified,field:most prevalent understory species,field:are baby redcedar trees present within sight?
238455499,Ray Lepore,47.3085988431,-122.5247323049,Thuja plicata,western redcedar,0,No,"Animal damage (woodpecker/sapsucker holes, bark peeling)",Fair,123,31.4,Other (please describe in Notes),None,No
238457146,,47.3077778264,-122.5251572551,Thuja plicata,western redcedar,0,No,"Animal damage (woodpecker/sapsucker holes, bark peeling)",Fair,124,45.9,Thinning Canopy,Ferns,No
238460136,,47.3074145631,-122.5259254667,Thuja plicata,western redcedar,0,No,No selection,Poor,165,41.1,Thinning Canopy,Fern and huckleberry,No
238462789,,47.3072798177,-122.5260517001,Thuja plicata,western redcedar,0,No,No selection,Fair,171,21.3,Thinning Canopy,None,No
238464703,,47.3065301531,-122.5280505313,Thuja plicata,western redcedar,0,No,No selection,Fair,166,33.9,Other (please describe in Notes),Huckleberry,No
238475549,Ray Lepore,47.3073834647,-122.525992524,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Poor,170,43.3,Thinning Canopy,Ferns,No
238475681,Ray Lepore,47.3065858831,-122.5286475906,Thuja plicata,western redcedar,0,No,No selection,Good,168,26.8,Healthy,"Ferns, huckleberry",No
238707094,,47.3060531194,-122.5307584051,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Fair,174,20.8,Other (please describe in Notes),Salal,No
240171708,,47.3045034429,-122.5328697001,Thuja plicata,western redcedar,0,No,No selection,Good,175,67.8,Thinning Canopy,None,No
240174445,,47.3045232579,-122.5328653578,Thuja plicata,western redcedar,10,No,No selection,Good,169,67.4,Healthy,None,No
240176472,,47.3046305274,-122.5326490773,Thuja plicata,western redcedar,0,No,No selection,Good,125,42.9,Healthy,Sword ferns,No
240178374,,47.304296263,-122.5326950815,Thuja plicata,western redcedar,0,No,No selection,Good,173,29,Healthy,None,No
240179241,Ray Lepore,47.3043031153,-122.5325363596,Thuja plicata,western redcedar,0,No,No selection,Good,164,30.4,Branch Dieback or 'Flagging',None,Yes
240180347,Ray Lepore,47.3040977587,-122.5324919355,Thuja plicata,western redcedar,0,No,No selection,Good,163,8.2,Healthy,None,Yes
240181955,Ray Lepore,47.304143386,-122.5325482066,Thuja plicata,western redcedar,0,No,Mechanical damage or fire scars,Good,187,29.4,Healthy,None,Yes
240182877,,47.3046512438,-122.5325879338,Thuja plicata,western redcedar,0,No,No selection,Good,167,45.6,Healthy,None,No
240185426,,47.3041823069,-122.5325692772,Thuja plicata,western redcedar,0,No,No selection,Good,162,20.8,Healthy,None,No
240187568,Ray Lepore,47.3040514067,-122.5323567354,Thuja plicata,western redcedar,0,No,No selection,Good,159,42.3,Healthy,Salah,No
240188509,,47.303734638,-122.5327988411,Thuja plicata,western redcedar,0,No,No selection,Good,161,13.9,Healthy,None,No
240188752,,47.3039735714,-122.5325254897,Thuja plicata,western redcedar,0,No,No selection,Good,160,31.1,Branch Dieback or 'Flagging',None,No
240192663,,47.3042099986,-122.5328111704,Thuja plicata,western redcedar,0,No,No selection,Good,126,30.8,Healthy,None,No
240192756,,47.3040950632,-122.5325485158,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Good,172,28.8,Healthy,None,No
241912320,,47.3042750875,-122.5332643034,Thuja plicata,western redcedar,0,No,No selection,Good,131,30.5,Healthy,None,No
241913614,,47.3039379015,-122.533310835,Thuja plicata,western redcedar,0,No,No selection,Good,129,37.1,Healthy,None,No
241914631,Ray Lepore,47.3040606021,-122.5334054438,Thuja plicata,western redcedar,0,No,No selection,Poor,132,9.8,Healthy,None,No
241915784,Ray Lepore,47.3039986949,-122.5330630106,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,133,42,Healthy,None,No
241916881,Ray Lepore,47.303955392,-122.5331043174,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,134,17.5,Healthy,None,No
241917857,Ray Lepore,47.3038886721,-122.5331691933,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Fair,158,18.6,Thinning Canopy,None,No
241920011,Ray Lepore,47.30378679,-122.533303639,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Fair,136,44.5,Thinning Canopy,None,No
241921325,,47.3038294168,-122.5329765914,Thuja plicata,western redcedar,0,No,No selection,Fair,156,34.2,Healthy,None,No
241922454,,47.3038306728,-122.5327586594,Thuja plicata,western redcedar,0,No,No selection,Good,157,46.9,Healthy,None,No
241923428,,47.3038563873,-122.5327237277,Thuja plicata,western redcedar,0,No,No selection,Good,151,34,Healthy,None,No
241924447,,47.3037777788,-122.5327652711,Thuja plicata,western redcedar,0,No,No selection,Good,150,43.4,Healthy,None,No
241925604,Ray Lepore,47.303661732,-122.5329146349,Thuja plicata,western redcedar,0,No,No selection,Good,153,34,Healthy,None,No
241927524,Ray Lepore,47.3040760031,-122.5327599044,Thuja plicata,western redcedar,0,No,No selection,Good,137,26.3,Healthy,None,No
241928137,,47.3040301231,-122.5334755065,Thuja plicata,western redcedar,0,No,No selection,Good,127,24.8,Healthy,None,No
241938355,Ray Lepore,47.3040733362,-122.5328351701,Thuja plicata,western redcedar,0,No,No selection,Fair,138,17.6,Thinning Canopy,None,No
242110641,,47.3041464934,-122.5324798663,Thuja plicata,western redcedar,20,No,Mechanical damage or fire scars,Poor,135,44.7,Dead Top,None,No
242110760,,47.3043435918,-122.5315724622,Thuja plicata,western redcedar,0,No,No selection,Good,152,12.2,Healthy,None,No
242110879,,47.3041881168,-122.5327750731,Thuja plicata,western redcedar,"",No,No selection,Good,155,16.8,Healthy,None,No
242523646,,47.3038966463,-122.5240282083,Thuja plicata,western redcedar,0,No,No selection,Good,139,46.5,Healthy,Trailing blackberry,No
242524986,,47.3040473829,-122.5239400653,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,142,41.4,Healthy,Ferns and trailing blackberries,No
242525399,,47.304127105,-122.5241678729,Thuja plicata,western redcedar,0,No,No selection,Good,141,37.3,Healthy,Ferns baby cedars invasive blackberries,No
242528323,,47.3040786731,-122.5239570992,Thuja plicata,western redcedar,0,No,No selection,Good,149,31.3,Healthy,"Trailing blackberries, ferns, baby fir tree",No
242529625,,47.3042624908,-122.5239395919,Thuja plicata,western redcedar,0,No,No selection,Good,148,36,Healthy,Minimal trailing blackberries,No
242530306,,47.3041408331,-122.5239809324,Thuja plicata,western redcedar,0,No,No selection,Good,146,32.7,Healthy,Few ferns,No
242530716,,47.3041278984,-122.524228331,Thuja plicata,western redcedar,0,No,No selection,Good,141A,"",Healthy,5 small western redcedars growing on nurse log,Yes
242531816,,47.3040904213,-122.5241245791,Thuja plicata,western redcedar,0,No,No selection,Good,147,31.4,Healthy,Huckleberry,No
242533133,Ray Lepore,47.3037659942,-122.5244042722,Thuja plicata,western redcedar,0,No,No selection,Good,154,51.8,Healthy,Ferns,No
242534084,Ray Lepore,47.3036921331,-122.5242078696,Thuja plicata,western redcedar,0,No,No selection,Good,140,32.7,Healthy,None,No
242534641,Ray Lepore,47.3037935874,-122.5243185369,Thuja plicata,western redcedar,0,No,No selection,Good,145,44.2,Healthy,None,No
242535874,Ray Lepore,47.303500479,-122.5241102993,Thuja plicata,western redcedar,0,No,No selection,Good,002,41.8,Healthy,Ferns,No
242537038,Ray Lepore,47.3035885672,-122.5240665706,Thuja plicata,western redcedar,0,No,No selection,Fair,003,32.2,Thinning Canopy,"Ferns, holly",No
242539109,Ray Lepore,47.3036747824,-122.5240619331,Thuja plicata,western redcedar,0,No,No selection,Good,004,28.1,Healthy,Ferns,No
242540433,,47.3033330531,-122.5242866114,Thuja plicata,western redcedar,0,No,No selection,Good,006,29.7,Healthy,Ferns and Holly,No
242541489,,47.3034492059,-122.5240099821,Thuja plicata,western redcedar,0,No,No selection,Good,007,9.5,Healthy,Ferns,Yes
242541921,,47.30330638,-122.5241818241,Thuja plicata,western redcedar,0,No,No selection,Good,008,9.2,Healthy,Few ferns,Yes
242542100,Ray Lepore,47.3037491972,-122.5239928534,Thuja plicata,western redcedar,3,No,Other (please describe in Notes),Fair,005,34.1,Branch Dieback or 'Flagging',Ferns,No
242542571,,47.3033608631,-122.5240886404,Thuja plicata,western redcedar,0,No Selection,No selection,Good,009,7.1,Healthy,Few ferns,Yes
242547345,,47.3029182206,-122.5249033396,Thuja plicata,western redcedar,0,No,No selection,Fair,093,32.7,Healthy,None,No
242549073,,47.3041174395,-122.5247836157,Thuja plicata,western redcedar,0,No,No selection,Good,092,36,Healthy,Ferns,No
242549868,Ray Lepore,47.3030499783,-122.5240480515,Thuja plicata,western redcedar,0,Yes,No selection,Good,094,41.4,Healthy,Ferns,No
242558967,Ray Lepore,47.3030352543,-122.5240807155,Thuja plicata,western redcedar,0,No,No selection,Good,94A,"",Healthy,Ferns,Yes
242559078,Ray Lepore,47.3045735918,-122.5243023772,Thuja plicata,western redcedar,0,No,No selection,Fair,010,36.5,Branch Dieback or 'Flagging',Salah,No
243662613,Ray Lepore,47.3043502482,-122.5242911826,Thuja plicata,western redcedar,0,No,No selection,Good,011,48.5,Healthy,Ferns,No
243664542,Ray Lepore,47.3042984025,-122.5243951548,Thuja plicata,western redcedar,0,No,No selection,Good,012,34.2,Healthy,Ferns and ocean spray,No
243665705,Ray Lepore,47.3043126295,-122.5245169028,Thuja plicata,western redcedar,0,No,No selection,Fair,013,36.1,Thinning Canopy,Ferns and salah,No
243666470,Ray Lepore,47.304314735,-122.5245461638,Thuja plicata,western redcedar,0,No,No selection,Good,014,41,Healthy,Ferns,No
243669946,,47.3050388831,-122.5241940788,Thuja plicata,western redcedar,0,No,No selection,Good,17,43,Healthy,Salal and huckleberry,No
243671521,,47.3053207831,-122.5236763188,Thuja plicata,western redcedar,0,No,No selection,Good,18,38.5,Healthy,Salal,No
243674496,,47.3052412831,-122.5230455671,Thuja plicata,western redcedar,0,No,Mechanical damage or fire scars,Good,19,37.2,Healthy,Salal and huckleberry,No
243677228,,47.3054229731,-122.5231889446,Thuja plicata,western redcedar,5,No,No selection,Fair,20,27.4,Branch Dieback or 'Flagging',Huckleberry,No
243678189,Ray Lepore,47.3042706871,-122.5246790283,Thuja plicata,western redcedar,0,No,No selection,Good,016,30.3,Healthy,Huckleberry and Holly,No
243680547,Ray Lepore,47.3042724894,-122.5247672056,Thuja plicata,western redcedar,0,No,No selection,Good,015,31.3,Healthy,Huckleberry,No
243680862,,47.3053298411,-122.5232686518,Thuja plicata,western redcedar,0,No,No selection,Good,21,13.5,Healthy,Huckleberry,No
243681047,,47.3054860631,-122.5232475036,Thuja plicata,western redcedar,0,No,No selection,Fair,22,29.5,Healthy,Huckleberry and dead ferns,No
243681819,Ray Lepore,47.3059047845,-122.5234966322,Thuja plicata,western redcedar,0,No,No selection,Good,023,32.9,Healthy,Ferns,No
243681976,Ray Lepore,47.3055681863,-122.5240803445,Thuja plicata,western redcedar,0,No,No selection,Good,024,34.6,Healthy,Ferns,No
243700631,,47.3062045264,-122.5238232052,Thuja plicata,western redcedar,0,No,No selection,Good,27,27.9,Healthy,Ferns,No
243702325,,47.3088612831,-122.522580339,Thuja plicata,western redcedar,0,Yes,Mechanical damage or fire scars,Fair,29,37.5,Healthy,None,No
243702631,,47.3074044831,-122.5237198396,Thuja plicata,western redcedar,0,No,No selection,Good,28,41.8,Healthy,Ferns,No
243705213,Ray Lepore,47.3060504839,-122.5238254574,Thuja plicata,western redcedar,0,No,No selection,Good,025,40.6,Healthy,Salal,No
243705929,Ray Lepore,47.3061096878,-122.523759422,Thuja plicata,western redcedar,0,No,No selection,Fair,026,44.8,Thinning Canopy,Ferns,No
243706022,Ray Lepore,47.3087290732,-122.5225554237,Thuja plicata,western redcedar,0,No,No selection,Good,031,7.3,Healthy,None,No
244211789,,47.3043056414,-122.5240490311,Thuja plicata,western redcedar,0,No,No selection,Good,143,42.9,Healthy,None,No
244211839,,47.304061097,-122.5241816295,Thuja plicata,western redcedar,0,No,No selection,Good,144,49.1,Healthy,Ferns,No
246354053,,47.3035851676,-122.5254241854,Thuja plicata,western redcedar,"",No,No selection,Good,32,25.4,Healthy,Oregon grape and huckleberry,No
246355878,,47.3037594431,-122.525760313,Thuja plicata,western redcedar,"",No,No selection,Good,33,37.7,Healthy,Oregon grape,No
246357329,,47.3040010763,-122.5264915086,Thuja plicata,western redcedar,"",No,No selection,Fair,34,24.3,Branch Dieback or 'Flagging',Oregon Grape,No
246358840,,47.3040059031,-122.5267278605,Thuja plicata,western redcedar,"",No,No selection,Good,35,12.3,Healthy,Oregon grape,No
246359662,,47.3090102131,-122.5225497187,Thuja plicata,western redcedar,0,Yes,No selection,Fair,30,42.1,Healthy,None,No
246360574,,47.3041436757,-122.5278266695,Thuja plicata,western redcedar,0,No,No selection,Fair,037,28.7,Branch Dieback or 'Flagging',Huckleberry,No
246361705,,47.3041642169,-122.5279228442,Thuja plicata,western redcedar,0,No,No selection,Good,38,22.6,Healthy,Huckleberry,No
246362055,,47.3038538789,-122.5283090555,Thuja plicata,western redcedar,0,No,No selection,Fair,39,22.3,Other (please describe in Notes),Huckleberry,No
246364151,Ray Lepore,47.3039050831,-122.5284605043,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Fair,042,32.4,Thinning Canopy,Huckleberry,No
246364393,Ray Lepore,47.3039102031,-122.5284343066,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Poor,043,16.2,Branch Dieback or 'Flagging',Huckleberry,No
246364959,,47.3037906638,-122.5282103077,Thuja plicata,western redcedar,0,No,No selection,Fair,40,19.7,Healthy,None,No
246366970,,47.3039230335,-122.5283631129,Thuja plicata,western redcedar,0,No,No selection,Fair,041,21.3,Healthy,Huckleberry,No
246367279,Ray Lepore,47.3038664763,-122.5283616799,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Fair,044,21.9,Thinning Canopy,Huckleberry,No
246367411,,47.3038155019,-122.5286541975,Thuja plicata,western redcedar,"",No Selection,No selection,No selection,047,11.4,Healthy,"",No Selection
246371320,,47.3039749903,-122.5285156193,Thuja plicata,western redcedar,0,No,No selection,Fair,48,24.3,Healthy,Huckelberry,No
246371533,,47.3040266231,-122.5286033905,Thuja plicata,western redcedar,0,No,No selection,Good,49,14.4,Healthy,Huckelberry,No
246371960,,47.3039843331,-122.5285416353,Thuja plicata,western redcedar,0,No,No selection,Fair,52,8.9,Healthy,None,No
246375388,,47.3041370046,-122.5274892739,Thuja plicata,western redcedar,"",No,No selection,Good,36,33.9,Healthy,Oregon Grape,No
246376618,Ray Lepore,47.3039160646,-122.5282701969,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Fair,045,20.8,Thinning Canopy,Huckleberry,No
246376682,Ray Lepore,47.3038042562,-122.5284647645,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Fair,046,28.5,Thinning Canopy,Huckleberry,No
246376839,Ray Lepore,47.3039871014,-122.5285660386,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Poor,050,20.1,Thinning Canopy,Huckleberry,No
246376892,Ray Lepore,47.3039567794,-122.5285133504,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Poor,051,28.2,Thinning Canopy,Huckleberry,No
246376958,Ray Lepore,47.3039683031,-122.5284991868,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Fair,053,29.1,Thinning Canopy,None,No
247648447,,47.3037772979,-122.528632092,Thuja plicata,western redcedar,0,No,No selection,Good,054,38.5,Healthy,Huckleberry,No
247649163,,47.3039299022,-122.5286072432,Thuja plicata,western redcedar,"",No,No selection,Good,55,12.5,Healthy,None,No
247650814,,47.3038472594,-122.5283663315,Thuja plicata,western redcedar,"",No,No selection,No selection,56,30,Healthy,Hackelberry,No
247651158,,47.303835676,-122.528798226,Thuja plicata,western redcedar,0,No,Mechanical damage or fire scars,Other,057,22.7,Other (please describe in Notes),Huckleberry,No
247652022,,47.3039604028,-122.5287067779,Thuja plicata,western redcedar,"",No,No selection,Good,58,31.2,Healthy,Huckleberry and Oregon grape,No
247652097,,47.3038551456,-122.5287117422,Thuja plicata,western redcedar,0,No,No selection,Fair,60,23.8,Healthy,Huckelberry,No
247653125,,47.3037852905,-122.5287674307,Thuja plicata,western redcedar,20,No,Multiple factors (please describe in Notes),Fair,059,17,Thinning Canopy,Huckleberry,No
247653693,,47.3037986643,-122.5289356522,Thuja plicata,western redcedar,"",No,No selection,Good,61,31.9,Healthy,Oregon grape,No
247656792,,47.3038466301,-122.5288714062,Thuja plicata,western redcedar,0,No,No selection,Good,062,39.9,Healthy,Huckleberry,No
247656986,,47.303860538,-122.5288901646,Thuja plicata,western redcedar,"",No,Other (please describe in Notes),Fair,064,29.1,Thinning Canopy,"",No
247658553,,47.3047591231,-122.5301413026,Thuja plicata,western redcedar,0,No,No selection,Good,68,28.9,Healthy,Huckelberry,No
247660774,,47.3048299331,-122.5303058937,Thuja plicata,western redcedar,0,No,No selection,Good,70,10.6,Healthy,Huckelberry,No
247672989,Ray Lepore,47.3037474031,-122.5289946255,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,065,39,Healthy,Huckleberry,Yes
247673089,Ray Lepore,47.3044552431,-122.5304130853,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,066,30.5,Healthy,Huckleberry,No
247771455,,47.3038603924,-122.5289188981,Thuja plicata,western redcedar,"",No,No selection,Fair,63,19.1,Healthy,Oregon grape,No
247771547,,47.304443381,-122.5303775075,Thuja plicata,western redcedar,0,No,No selection,Good,067,13.1,Healthy,Huckleberry,No
247771583,,47.3047025048,-122.5302516303,Thuja plicata,western redcedar,80,Maybe,Multiple factors (please describe in Notes),Poor,069,8.4,Dead Top,Huckleberry,No
247771630,,47.3048017656,-122.5303316649,Thuja plicata,western redcedar,0,No,No selection,Good,071,19,Healthy,Salal,No
249923634,,47.3043111261,-122.5325540117,Thuja plicata,western redcedar,"",No,No selection,Good,72,31.8,Healthy,"",No
249924761,,47.3037392915,-122.532829404,Thuja plicata,western redcedar,"",No,No selection,Good,74,15.3,Healthy,Oregon grape and sword fern,No
249930734,,47.3055819662,-122.5303995783,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,83,27.1,Healthy,"Baby Hemlock Salal, huckelberry",No
249931311,,47.3055213495,-122.5304963346,Thuja plicata,western redcedar,0,No,Mechanical damage or fire scars,Good,84,26.6,Healthy,Salal,No
249932247,,47.3055425923,-122.5304894865,Thuja plicata,western redcedar,10,No,Multiple factors (please describe in Notes),Poor,85,8.6,Dead Top,Salal,Yes
249934191,,47.3057084544,-122.5305482422,Thuja plicata,western redcedar,0,No,No selection,Good,86,35.1,Healthy,"Salal, huckelberry",Yes
249938227,,47.3060040731,-122.5314769453,Thuja plicata,western redcedar,0,No,No selection,Good,88,31,Healthy,Salal,No
249938248,Ray Lepore,47.3050424019,-122.5303001338,Thuja plicata,western redcedar,0,No,No selection,Good,077,43.5,Healthy,Huckleberry and ferns,No
249938319,Ray Lepore,47.3050722831,-122.5302247648,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,078,26.3,Healthy,Huckleberry and ferns,No
249938434,Ray Lepore,47.3053115431,-122.5302775084,Thuja plicata,western redcedar,0,No,No selection,Good,079,39.9,Healthy,Huckleberry and Salal,No
249938462,Ray Lepore,47.3052966531,-122.5301883261,Thuja plicata,western redcedar,0,No,No selection,Good,080,31.5,Healthy,Salal,No
249938489,Ray Lepore,47.3054497231,-122.5304478408,Thuja plicata,western redcedar,0,No,No selection,Fair,081,13.6,Other (please describe in Notes),Huckleberry and ferns,No
249938513,Ray Lepore,47.3055020431,-122.5304489134,Thuja plicata,western redcedar,"",No,No selection,Good,082,38.8,Other (please describe in Notes),Huckleberry and salal,No
249954187,,47.3044878816,-122.5316703072,Thuja plicata,western redcedar,"",No,No selection,Good,75,18.8,Healthy,Huckleberry,No
249954222,,47.3049334913,-122.5303504454,Thuja plicata,western redcedar,"",No,No selection,Good,76,34.7,Healthy,"",No
250722766,,47.3031454653,-122.5240590402,Thuja plicata,western redcedar,5,No,No selection,Fair,89,17.2,Other (please describe in Notes),Sala huckleberry mushrooms,No
250723012,,47.3058270919,-122.5308896914,Thuja plicata,western redcedar,0,No Selection,No selection,No selection,090,26.5,Healthy,Salal,No Selection
250723945,,47.3059603631,-122.5307387899,Thuja plicata,western redcedar,"",No,No selection,Good,95,50.3,Healthy,"Sala, fern",No
250724348,,47.3062039531,-122.5320723615,Thuja plicata,western redcedar,"",No,No selection,Good,404,28.1,Healthy,Sword fern,No
250724710,,47.3061199335,-122.5321522362,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Good,403,36,Healthy,Fern,No
250725397,,47.3061647026,-122.5320390155,Thuja plicata,western redcedar,"",No,No selection,Good,405,27.5,Healthy,Huckleberry,No
250726045,,47.3054148515,-122.5323002239,Thuja plicata,western redcedar,"",No,No selection,No selection,406,45,Healthy,Sala,No
